Sensor,Year_Prev,Year_Curr,Area_Gained_km2,Area_Lost_km2,Net_Change_km2,Gain_Pixels,Loss_Pixels
landsat8,2016,2017,23.3613,9.1665,14.1948,25957,10185
landsat8,2017,2018,9.9423,4.8671999999999995,5.0751,11047,5408
landsat8,2018,2019,9.2529,1.2681,7.9848,10281,1409
landsat8,2019,2020,1.3779,29.0565,-27.6786,1531,32285
landsat8,2020,2021,35.4357,30.6405,4.795199999999998,39373,34045
landsat8,2016,2021,36.594,30.176099999999998,6.417900000000003,40660,33529
sentinel2,2016,2017,36.868300000000005,30.517200000000003,6.351100000000002,368683,305172
sentinel2,2017,2018,30.9795,37.7911,-6.8115999999999985,309795,377911
sentinel2,2018,2019,17.5079,13.7581,3.7497999999999987,175079,137581
sentinel2,2019,2020,15.0966,32.577200000000005,-17.480600000000003,150966,325772
sentinel2,2020,2021,37.827000000000005,30.744400000000002,7.082600000000003,378270,307444
sentinel2,2016,2021,33.3315,26.9925,6.338999999999999,333315,269925
